Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
2,1,1,4,2,2,1,2,1,2,1,3,9,3,34.0,2
2,1,2,5,2,2,1,1,1,1,1,2,11,2,16.0,2
2,1,1,5,2,2,2,1,1,2,1,1,2,4,59.0,1
2,1,1,4,2,2,1,2,1,1,1,2,9,3,35.0,1
2,1,2,6,2,2,1,3,1,2,1,7,9,3,36.0,2
1,1,2,7,5,2,2,1,1,2,1,6,8,2,29.0,4
3,1,1,4,1,2,1,1,1,1,1,2,10,2,24.0,1
2,1,2,8,2,2,1,2,1,2,1,4,12,1,2.0,2
1,1,1,4,4,2,1,1,1,9,2,2,2,3,40.0,1
3,1,2,2,1,2,1,1,1,9,1,6,12,4,53.0,3
2,1,1,4,2,2,1,2,1,1,1,2,2,3,46.0,1
